#step  PE  KE  vx2 vy2 vz2
11500 -1.298047e+01 1.265334e-03 4.242433e-04 4.104025e-04 4.306878e-04
11600 -1.311799e+01 1.265622e-03 4.240193e-04 4.122628e-04 4.293397e-04
11700 -1.356699e+01 1.266562e-03 4.214853e-04 4.131576e-04 4.319188e-04
11800 -1.176802e+01 1.262796e-03 4.202417e-04 4.122202e-04 4.303341e-04
11900 -1.258691e+01 1.264510e-03 4.211511e-04 4.098228e-04 4.335362e-04
12000 -1.176078e+01 1.262781e-03 4.233505e-04 4.087285e-04 4.307018e-04
12100 -1.346584e+01 1.266350e-03 4.270842e-04 4.110275e-04 4.282383e-04
12200 -1.148422e+01 1.262202e-03 4.257557e-04 4.089082e-04 4.275381e-04
12300 -1.484755e+01 1.269243e-03 4.305851e-04 4.110549e-04 4.276025e-04
12400 -1.297211e+01 1.265317e-03 4.273314e-04 4.096116e-04 4.283740e-04
12500 -1.458450e+01 1.268692e-03 4.256111e-04 4.116776e-04 4.314029e-04
12600 -1.599236e+01 1.271638e-03 4.274166e-04 4.085599e-04 4.356613e-04
12700 -1.714397e+01 1.274048e-03 4.289417e-04 4.093041e-04 4.358028e-04
12800 -1.710410e+01 1.273965e-03 4.316647e-04 4.081868e-04 4.341133e-04
12900 -1.778539e+01 1.275391e-03 4.304181e-04 4.099731e-04 4.349996e-04
13000 -1.784023e+01 1.275506e-03 4.279796e-04 4.120976e-04 4.354285e-04
13100 -1.825055e+01 1.276364e-03 4.270326e-04 4.124031e-04 4.369282e-04
13200 -1.972573e+01 1.279451e-03 4.313803e-04 4.121152e-04 4.359550e-04
13300 -1.839063e+01 1.276656e-03 4.298119e-04 4.105017e-04 4.363422e-04
13400 -1.723342e+01 1.274233e-03 4.276423e-04 4.109992e-04 4.355917e-04
13500 -1.936516e+01 1.278695e-03 4.316385e-04 4.052581e-04 4.417981e-04
13600 -1.760923e+01 1.275014e-03 4.364604e-04 4.007811e-04 4.377729e-04
13700 -1.829834e+01 1.276455e-03 4.369230e-04 4.015671e-04 4.379653e-04
13800 -1.858230e+01 1.277050e-03 4.382145e-04 4.055067e-04 4.333289e-04
13900 -1.827192e+01 1.276400e-03 4.390017e-04 4.130244e-04 4.243734e-04
14000 -1.752756e+01 1.274841e-03 4.381522e-04 4.120438e-04 4.246452e-04
14100 -1.626291e+01 1.272194e-03 4.365735e-04 4.107333e-04 4.248869e-04
14200 -1.581664e+01 1.271259e-03 4.397900e-04 4.076481e-04 4.238213e-04
14300 -1.631519e+01 1.272304e-03 4.357701e-04 4.127822e-04 4.237514e-04
14400 -1.440049e+01 1.268296e-03 4.304226e-04 4.144391e-04 4.234344e-04
14500 -1.855376e+01 1.276990e-03 4.349911e-04 4.171849e-04 4.248141e-04
14600 -1.917877e+01 1.278298e-03 4.313840e-04 4.198403e-04 4.270740e-04
14700 -1.804482e+01 1.275925e-03 4.253278e-04 4.200675e-04 4.305293e-04
14800 -2.163444e+01 1.283439e-03 4.321420e-04 4.186656e-04 4.326312e-04
14900 -2.138692e+01 1.282921e-03 4.351251e-04 4.256210e-04 4.221748e-04
15000 -2.167050e+01 1.283515e-03 4.328953e-04 4.271708e-04 4.234490e-04
15100 -2.170541e+01 1.283587e-03 4.317845e-04 4.291961e-04 4.226066e-04
15200 -2.367314e+01 1.287706e-03 4.275333e-04 4.331527e-04 4.270197e-04
15300 -2.098188e+01 1.282072e-03 4.180360e-04 4.337761e-04 4.302598e-04
15400 -2.277475e+01 1.285825e-03 4.198051e-04 4.370110e-04 4.290090e-04
15500 -2.278591e+01 1.285849e-03 4.199299e-04 4.391740e-04 4.267449e-04
15600 -1.961809e+01 1.279217e-03 4.190805e-04 4.357383e-04 4.243987e-04
15700 -2.107152e+01 1.282260e-03 4.171547e-04 4.374443e-04 4.276610e-04
15800 -2.002987e+01 1.280079e-03 4.155950e-04 4.358406e-04 4.286438e-04
15900 -1.943792e+01 1.278840e-03 4.139866e-04 4.353154e-04 4.295384e-04
16000 -2.082250e+01 1.281739e-03 4.123955e-04 4.413799e-04 4.279634e-04
16100 -2.205913e+01 1.284327e-03 4.129796e-04 4.416163e-04 4.297314e-04
16200 -2.282574e+01 1.285933e-03 4.112654e-04 4.430655e-04 4.316022e-04
16300 -2.351268e+01 1.287373e-03 4.155360e-04 4.404195e-04 4.314175e-04
16400 -2.260695e+01 1.285477e-03 4.170402e-04 4.406326e-04 4.278041e-04
16500 -2.593334e+01 1.292439e-03 4.226770e-04 4.389033e-04 4.308586e-04
16600 -2.162286e+01 1.283416e-03 4.135013e-04 4.440329e-04 4.258820e-04
16700 -2.476087e+01 1.289985e-03 4.166840e-04 4.475632e-04 4.257380e-04
16800 -2.254038e+01 1.285337e-03 4.112825e-04 4.460476e-04 4.280067e-04
16900 -2.526948e+01 1.291051e-03 4.124864e-04 4.465998e-04 4.319647e-04
17000 -2.113593e+01 1.282398e-03 4.099123e-04 4.451407e-04 4.273450e-04
17100 -2.352587e+01 1.287400e-03 4.124344e-04 4.470498e-04 4.279159e-04
17200 -2.455634e+01 1.289554e-03 4.169198e-04 4.428735e-04 4.297611e-04
17300 -2.177148e+01 1.283726e-03 4.094509e-04 4.463617e-04 4.279137e-04
17400 -2.067022e+01 1.281421e-03 4.104331e-04 4.434247e-04 4.275635e-04
17500 -1.834235e+01 1.276549e-03 4.118161e-04 4.411140e-04 4.236186e-04
17600 -1.997637e+01 1.279966e-03 4.094238e-04 4.451521e-04 4.253903e-04
17700 -1.926115e+01 1.278464e-03 4.131463e-04 4.389510e-04 4.263663e-04
17800 -1.896080e+01 1.277835e-03 4.119568e-04 4.346027e-04 4.312754e-04
17900 -1.987451e+01 1.279738e-03 4.138635e-04 4.336408e-04 4.322340e-04
18000 -2.153672e+01 1.283218e-03 4.188184e-04 4.315295e-04 4.328702e-04
18100 -1.942869e+01 1.278807e-03 4.190613e-04 4.285367e-04 4.312084e-04
18200 -2.172163e+01 1.283607e-03 4.174593e-04 4.299437e-04 4.362042e-04
18300 -2.213018e+01 1.284463e-03 4.159164e-04 4.312562e-04 4.372899e-04
18400 -2.422474e+01 1.288847e-03 4.171423e-04 4.308253e-04 4.408794e-04
18500 -2.527658e+01 1.291048e-03 4.228026e-04 4.273785e-04 4.408672e-04
18600 -2.145254e+01 1.283042e-03 4.219729e-04 4.214183e-04 4.396512e-04
18700 -2.607710e+01 1.292724e-03 4.290171e-04 4.180362e-04 4.456709e-04
18800 -2.372392e+01 1.287795e-03 4.229049e-04 4.214049e-04 4.434853e-04
18900 -1.938022e+01 1.278702e-03 4.267655e-04 4.212343e-04 4.307020e-04
19000 -1.722661e+01 1.274195e-03 4.345190e-04 4.142842e-04 4.253923e-04
19100 -2.066385e+01 1.281390e-03 4.328450e-04 4.154092e-04 4.331356e-04
19200 -1.806360e+01 1.275947e-03 4.293227e-04 4.153874e-04 4.312367e-04
19300 -1.765140e+01 1.275084e-03 4.292050e-04 4.183791e-04 4.275001e-04
19400 -2.030603e+01 1.280641e-03 4.379557e-04 4.151025e-04 4.275831e-04
19500 -2.080295e+01 1.281682e-03 4.334623e-04 4.208226e-04 4.273966e-04
19600 -2.007725e+01 1.280163e-03 4.336924e-04 4.203870e-04 4.260835e-04
19700 -1.958200e+01 1.279126e-03 4.334508e-04 4.174976e-04 4.281778e-04
19800 -2.072952e+01 1.281528e-03 4.351707e-04 4.175835e-04 4.287737e-04
19900 -2.067515e+01 1.281414e-03 4.344558e-04 4.188692e-04 4.280891e-04
